"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","HTTP Code","Execution Date"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_25_35"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_25_35"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_25_35"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_25_35"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_25_35"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_25_35"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_08"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_08"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_08"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_08"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_08"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_08"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_22"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_22"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_22"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_22"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_22"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_26_22"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_07"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_07"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_07"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_07"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_07"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_07"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_28"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_28"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_28"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_28"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_28"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_28"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_52"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_52"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_52"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_52"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_52"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_27_52"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_28_09"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_28_09"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_28_09"
